word,frequency,topic_id
might,241,4
real,241,4
start,241,4
told,240,4
happy,240,4
lesson,240,4
summer,239,4
husband,239,4
sometimes,238,4
letter,237,4
getting,236,4
reason,236,4
great,234,4
care,229,4
change,228,4
idea,228,4
put,225,4
learned,222,4
food,221,4
read,220,4
another,220,4
got,219,4
night,219,4
making,218,4
three,217,4
old,216,4
social,208,4
use,207,4
working,206,4
job,206,4
become,205,4
away,205,4
raising,202,4
body,201,4
trying,200,4
everything,200,4
place,198,4
adult,198,4
motherhood,198,4
student,194,4
teacher,194,4
facebook,194,4
special,194,4
hope,193,4
matter,193,4
found,192,4
remember,192,4
easy,191,4
face,190,4
adorable,190,4
news,190,4
cute,190,4
list,189,4
sleep,189,4
mommy,188,4
live,188,4
bad,188,4
fun,188,4
sure,188,4
born,186,4
college,186,4
feeling,186,4
try,186,4
everyone,185,4
health,185,4
together,184,4
next,183,4
birthday,182,4
ask,179,4
house,179,4
perfect,179,4
turn,178,4
note,178,4
christmas,177,4
yet,177,4
believe,175,4
hand,175,4
healthy,174,4
online,173,4
whether,173,4
end,172,4
medium,172,4
actually,171,4
someone,171,4
eye,170,4
top,170,4
asked,169,4
leave,168,4
advice,167,4
halloween,167,4
maybe,166,4
le,165,4
kind,164,4
problem,163,4
call,162,4
open,162,4
dinner,162,4
picture,161,4
others,161,4
american,160,4
high,160,4
post,159,4
room,156,4
car,155,4
since,155,4
nothing,154,4
childhood,152,4
learning,150,4
step,150,4
ago,149,4
early,149,4
taking,149,4
table,149,4
raise,148,4
wanted,148,4
point,147,4
party,147,4
hour,146,4
truth,145,4
message,145,4
second,144,4
set,144,4
mind,144,4
behavior,143,4
state,143,4
morning,143,4
fear,142,4
wo,142,4
safe,141,4
break,141,4
though,141,4
person,141,4
challenge,141,4
yes,141,4
wish,140,4
cry,139,4
cancer,139,4
conversation,138,4
alone,138,4
wrong,137,4
head,137,4
talking,136,4
single,135,4
choice,134,4
understand,133,4
season,131,4
santa,131,4
thinking,130,4
dear,130,4
knew,130,4
grow,130,4
doctor,129,4
hospital,129,4
past,128,4
instead,128,4
teaching,127,4
technology,127,4
support,126,4
far,126,4
man,126,4
tv,126,4
movie,125,4
hear,125,4
eat,125,4
men,124,4
fact,124,4
used,123,4
giving,123,4
took,123,4
favorite,122,4
must,122,4
four,122,4
twin,122,4
public,121,4
simple,121,4
five,121,4
started,120,4
especially,120,4
future,120,4
stay,119,4
power,119,4
anything,119,4
done,119,4
looking,118,4
risk,117,4
issue,117,4
minute,117,4
answer,117,4
secret,117,4
least,117,4
already,116,4
money,116,4
felt,116,4
wife,115,4
came,115,4
human,115,4
whole,115,4
phone,114,4
decision,113,4
dog,113,4
anyone,113,4
pretty,112,4
full,112,4
able,111,4
beautiful,111,4
role,111,4
TRUE,111,4
reading,110,4
living,110,4
amazing,110,4
older,109,4
couple,109,4
relationship,109,4
tweet,107,4
emotional,107,4
went,107,4
